"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"1",1,25,"s59B","receiver","coop",100,1,1,"truth","trust","1",8e-04,"waiting",1,"s59B+beta+event_001+tlrc"
"2",1,25,"s59B","receiver","coop",100,1,1,"truth","trust","2",7.0008,"active",2,"s59B+beta+event_002+tlrc"
"3",1,25,"s59B","receiver","coop",100,1,1,"truth","trust","FB",14.0008,"feedback",3,"s59B+beta+event_003+tlrc"
"4",2,30,"s59B","receiver","comp",150,1,1,"truth","trust","1",23.1157,"waiting",4,"s59B+beta+event_004+tlrc"
"5",2,30,"s59B","receiver","comp",150,1,1,"truth","trust","2",30.1157,"active",5,"s59B+beta+event_005+tlrc"
"6",2,30,"s59B","receiver","comp",150,1,1,"truth","trust","FB",37.1157,"feedback",6,"s59B+beta+event_006+tlrc"
"7",3,10,"s59B","sender","coop",0,1,1,"truth","trust","1",46.1327,"active",7,"s59B+beta+event_007+tlrc"
"8",3,10,"s59B","sender","coop",0,1,1,"truth","trust","2",53.1327,"waiting",8,"s59B+beta+event_008+tlrc"
"9",3,10,"s59B","sender","coop",0,1,1,"truth","trust","FB",60.1327,"feedback",9,"s59B+beta+event_009+tlrc"
"10",4,20,"s59B","sender","comp",150,2,2,"lie","trust","1",69.1459,"active",10,"s59B+beta+event_010+tlrc"
"11",4,20,"s59B","sender","comp",150,2,2,"lie","trust","2",76.1459,"waiting",11,"s59B+beta+event_011+tlrc"
"12",4,20,"s59B","sender","comp",150,2,2,"lie","trust","FB",83.1459,"feedback",12,"s59B+beta+event_012+tlrc"
"13",5,75,"s59B","receiver","coop",100,2,2,"truth","trust","1",90.1538,"waiting",13,"s59B+beta+event_013+tlrc"
"14",5,75,"s59B","receiver","coop",100,2,2,"truth","trust","2",97.1538,"active",14,"s59B+beta+event_014+tlrc"
"15",5,75,"s59B","receiver","coop",100,2,2,"truth","trust","FB",104.1538,"feedback",15,"s59B+beta+event_015+tlrc"
"16",6,85,"s59B","receiver","comp",150,2,1,"lie","doubt","1",113.1623,"waiting",16,"s59B+beta+event_016+tlrc"
"17",6,85,"s59B","receiver","comp",150,2,1,"lie","doubt","2",120.1623,"active",17,"s59B+beta+event_017+tlrc"
"18",6,85,"s59B","receiver","comp",150,2,1,"lie","doubt","FB",127.1623,"feedback",18,"s59B+beta+event_018+tlrc"
"19",7,65,"s59B","sender","coop",0,2,2,"truth","trust","1",133.1709,"active",19,"s59B+beta+event_019+tlrc"
"20",7,65,"s59B","sender","coop",0,2,2,"truth","trust","2",140.1709,"waiting",20,"s59B+beta+event_020+tlrc"
"21",7,65,"s59B","sender","coop",0,2,2,"truth","trust","FB",147.1709,"feedback",21,"s59B+beta+event_021+tlrc"
"22",8,85,"s59B","sender","comp",150,2,1,"truth","doubt","1",157.1824,"active",22,"s59B+beta+event_022+tlrc"
"23",8,85,"s59B","sender","comp",150,2,1,"truth","doubt","2",164.1824,"waiting",23,"s59B+beta+event_023+tlrc"
"24",8,85,"s59B","sender","comp",150,2,1,"truth","doubt","FB",171.1824,"feedback",24,"s59B+beta+event_024+tlrc"
"25",9,70,"s59B","receiver","coop",0,2,2,"truth","trust","1",182.1905,"waiting",25,"s59B+beta+event_025+tlrc"
"26",9,70,"s59B","receiver","coop",0,2,2,"truth","trust","2",189.1905,"active",26,"s59B+beta+event_026+tlrc"
"27",9,70,"s59B","receiver","coop",0,2,2,"truth","trust","FB",196.1905,"feedback",27,"s59B+beta+event_027+tlrc"
"28",10,15,"s59B","receiver","comp",0,2,1,"truth","doubt","1",205.1981,"waiting",28,"s59B+beta+event_028+tlrc"
"29",10,15,"s59B","receiver","comp",0,2,1,"truth","doubt","2",212.1981,"active",29,"s59B+beta+event_029+tlrc"
